farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err
0,11,China,0.0005529808202368667,-0.0038137180374874214,6.8939093164865906,5.677875021436107,7.155438010330808,-0.9900831510754131,1.1398949159661262,0.8378663895720131,8.021295245564496e-05,0,0.0
1,9,China,0.0,0.0,6.946442424337041,5.872990758377659,7.363392148970222,0.2406495089763117,1.1350332794596496,0.7889230558149022,0.0,0,0.0
2,11,Belgium,0.20654677345733152,0.14201604865633863,8.982830312890723,7.924163408621024,4.437202065944944,7.924163408621024,1.7931199457651676,1.2026130657734273,0.022993507197940563,0,0.0
3,6,China,-0.1541043158464903,-0.13260049804634785,6.893451346777557,5.500931949957298,7.492640983506985,-0.8582622252448373,1.686967501271313,1.2170916111582457,-0.022355175672419677,0,0.0
4,6,China,2.42676857989233,2.0081757262662707,4.953472175318312,4.5379920081370635,5.389869097780736,0.5726946676106139,4.715262771919752,4.227621641144484,0.4899126297679031,0,0.0
5,7,United Kingdom,0.1532015506378042,0.1838900825157904,4.3037547372495375,3.9931085532252135,3.633267831802511,2.6846740436123,0.5326751410034317,0.5090689350357007,0.03559718431717903,0,0.0
6,4,China,0.36644659919434397,0.25336319267606827,6.849364795684629,6.29565476132826,3.1152376539687934,6.29565476132826,2.6697819419324476,1.7798807218551307,0.05350081505736413,0,0.0
7,11,Netherlands,-0.2843055964609171,-0.21598961134799177,5.1458547925137275,4.676870790065261,3.0759875541092017,4.228271113175459,1.821971675730361,1.5569116915144763,-0.05524944016580675,0,0.0
8,4,China,0.19029991806763827,0.1278806981247486,4.953637491476938,4.248074271548118,4.7385489870720106,2.774552129588674,2.4513174734414895,2.1256895991471128,0.038416197873797166,0,0.0
9,11,United Kingdom,1.0896069597735314,1.083592799041184,6.116381067571309,5.69045072351593,4.830451890157913,4.024681086969283,2.102212318318213,1.8298574982911198,0.17814569558959678,0,0.0
10,11,United Kingdom,0.11534982841859844,0.11092455752450466,4.549765641470322,4.075061123063713,3.726198296294489,2.842190318658911,1.128241312193346,1.0010496095387498,0.025352916503479834,0,0.0
11,11,Germany,-0.21931955568335332,-0.22724463014874421,6.179376793580846,5.581443749835311,2.8587157461263475,5.545752805329279,1.6328586385717112,1.3918317386690093,-0.03549218036213346,0,0.0
12,4,China,2.596222722261514,2.5801068364535227,5.079742015196754,3.913733415859956,5.805772118746702,0.7235582352808585,4.3709017435083055,4.128157954049865,0.5110934205899735,0,0.0
13,11,United Kingdom,0.20322536618680004,0.2063701061618962,5.341947380056504,3.916005992988414,5.403139762411997,1.41296680147072,2.37009700655926,2.1859045716353958,0.038043311123864054,0,0.0
14,8,China,0.4580654859297189,0.4867271566074594,4.426898676524868,3.2889384535581527,3.7503909123876986,-2.7000331286786876,2.1490226327002238,1.7796224430198415,0.10347322570511193,0,0.0
15,11,Netherlands,0.3438371088150264,0.2537283474485113,7.8834175460281,6.502122157654725,4.675227012365826,6.502122157654725,2.237725572667816,1.573254650159516,0.04361523499262852,0,0.0
16,11,Netherlands,0.0,0.0,3.684542817002047,3.4440326445302847,2.6598772161213278,2.6728422975810484,0.941887436829626,0.7739613420572323,0.0,0,0.0
17,11,United Kingdom,0.38765748381977577,0.40779069736119694,8.263660932990296,7.265564398538285,4.129120073906226,7.265564398538285,1.3838601008284939,1.0589867127905348,0.046911107191264886,0,0.0
18,11,Germany,0.01656882063913108,0.03376989808413474,5.104218850263273,4.5424571523204085,3.0275642329314376,4.209535700373996,1.5718963279625113,1.3288848996151346,0.0032461031012172353,0,0.0
